team,role,name,title,source_url,as_of,confidence
Brooklyn Nets,ownership,Joe Tsai,Owner / Governor,https://www.nba.com/nets/front-office,2026-09-19,high
Brooklyn Nets,gm,Sean Marks,General Manager and Alternate Governor,https://www.nba.com/nets/front-office,2026-09-19,high
Brooklyn Nets,basketball_ops,Makar Gevorkian,Assistant General Manager,https://yesnetwork.com/brooklyn-nets-name-makar-gevorkian-assistant-general-manager/,2026-09-19,high
Brooklyn Nets,basketball_ops,B.J. Johnson,Assistant General Manager,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,basketball_ops,Andy Birdsong,Assistant General Manager,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,basketball_ops,Ryan Gisriel,Executive Director of Basketball Operations,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,basketball_ops,Justin Bokmeyer,Director of Basketball Operations,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,scouting,Simone Casali,Director of International Scouting,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,analytics,Glenn DuPaul,"Vice President, Basketball Analytics",https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Brooklyn Nets,analytics,Logan MacPhail,Director of Coaching Analytics,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Brooklyn Nets,analytics,Kevin Roark,Director of Basketball Systems & Innovation,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Brooklyn Nets,analytics,Matt Bolaños,Full-Stack Basketball Systems Developer,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Brooklyn Nets,analytics,Rami Antoun,Basketball Analyst,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Brooklyn Nets,analytics,Rohan Jaitley,Coaching Analytics Coordinator,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-19,medium
Brooklyn Nets,medical,Geoff Staton,Head Athletic Trainer,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,medical,Ben Williams,Director of High Performance,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,coaching,Jordi Fernandez,Head Coach,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,business,John Abbamondi,Chief Executive Officer / Alternate Governor,https://basketball.realgm.com/nba/teams/Brooklyn-Nets/38/staff-members/Current/grid,2026-09-19,medium
Brooklyn Nets,business,Jeff Gewirtz,Chief Legal Officer,https://www.nba.com/nets/front-office,2026-09-19,high
Brooklyn Nets,business,Paul Kavanaugh,Front Office executive,https://www.nba.com/nets/front-office,2026-09-19,medium
Brooklyn Nets,gm,Sean Marks,General Manager (BBRef personnel executive),https://www.basketball-reference.com/executives/,2026-09-19,high
