team_id,mascot,taxon,taxon_detail,league_id,source_url,confidence
nba_celtics_q131371,Lucky the Leprechaun,human,mythological,nba,https://www.wikidata.org/wiki/Q131371,HIGH
nba_nets_q976396,,unknown,,nba,https://www.wikidata.org/wiki/Q976396,GAP
nba_knicks_q131364,,unknown,,nba,https://www.wikidata.org/wiki/Q131364,GAP
nba_76ers_q138089,Franklin the Dog,animal,canine,nba,https://www.wikidata.org/wiki/Q138089,HIGH
nba_raptors_q329816,The Raptor,animal,avian,nba,https://www.wikidata.org/wiki/Q329816,HIGH
nba_bulls_q128109,Benny the Bull,animal,bovine,nba,https://www.wikidata.org/wiki/Q128109,HIGH
nba_cavaliers_q162990,Moondog,animal,canine,nba,https://www.wikidata.org/wiki/Q162990,HIGH
nba_pistons_q169637,Hooper,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q169637,HIGH
nba_pacers_q170329,Boomer,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q170329,HIGH
nba_bucks_q169165,Bango,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q169165,HIGH
nba_hawks_q140558,Harry the Hawk,animal,avian,nba,https://www.wikidata.org/wiki/Q140558,HIGH
nba_hornets_q162954,Hugo,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q162954,HIGH
nba_heat_q169138,Burnie,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q169138,HIGH
nba_magic_q180950,Stuff the Magic Dragon,animal,mythical,nba,https://www.wikidata.org/wiki/Q180950,HIGH
nba_wizards_q161337,G-Wiz,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q161337,HIGH
nba_nuggets_q165529,Rocky,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q165529,HIGH
nba_timberwolves_q157376,Crunch,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q157376,HIGH
nba_thunder_q180748,Rumble the Bison,animal,bovine,nba,https://www.wikidata.org/wiki/Q180748,HIGH
nba_blazers_q180950,Blaze the Trail Cat,animal,feline,nba,https://www.wikidata.org/wiki/Q180950,HIGH
nba_jazz_q166105,Jazz Bear,animal,ursine,nba,https://www.wikidata.org/wiki/Q166105,HIGH
nba_warriors_q169661,,unknown,,nba,https://www.wikidata.org/wiki/Q169661,GAP
nba_clippers_q976893,Chuck the Condor,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q976893,HIGH
nba_lakers_q121661,,unknown,,nba,https://www.wikidata.org/wiki/Q121661,GAP
nba_suns_q164177,Go the Gorilla,animal,primate,nba,https://www.wikidata.org/wiki/Q164177,HIGH
nba_kings_q166105,Slamson,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q166105,HIGH
nba_mavericks_q169542,Champ,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q169542,HIGH
nba_rockets_q160893,Clutch the Rocket Bear,animal,ursine,nba,https://www.wikidata.org/wiki/Q160893,HIGH
nba_grizzlies_q169950,Grizz,unknown,unclassified,nba,https://www.wikidata.org/wiki/Q169950,HIGH
nba_pelicans_q180950,Pierre the Pelican,animal,avian,nba,https://www.wikidata.org/wiki/Q180950,HIGH
nba_spurs_q164177,The Coyote,animal,canine,nba,https://www.wikidata.org/wiki/Q164177,HIGH
wnba_dream_q140558,,unknown,,wnba,https://www.wikidata.org/wiki/Q140558,GAP
wnba_sky_q131371,,unknown,,wnba,https://www.wikidata.org/wiki/Q131371,GAP
wnba_sun_q162990,,unknown,,wnba,https://www.wikidata.org/wiki/Q162990,GAP
wnba_wings_q169637,,unknown,,wnba,https://www.wikidata.org/wiki/Q169637,GAP
wnba_fever_q170329,Freddy Fever,unknown,unclassified,wnba,https://www.wikidata.org/wiki/Q170329,HIGH
wnba_aces_q169165,,unknown,,wnba,https://www.wikidata.org/wiki/Q169165,GAP
wnba_sparks_q1441324,,unknown,,wnba,https://www.wikidata.org/wiki/Q1441324,GAP
wnba_lynx_q140558,,unknown,,wnba,https://www.wikidata.org/wiki/Q140558,GAP
wnba_liberty_q1426420,Ellie the Elephant,unknown,unclassified,wnba,https://www.wikidata.org/wiki/Q1426420,HIGH
wnba_mercury_q162954,,unknown,,wnba,https://www.wikidata.org/wiki/Q162954,GAP
wnba_storm_q169138,Doppler,unknown,unclassified,wnba,https://www.wikidata.org/wiki/Q169138,HIGH
wnba_mystics_q180950,Pax,unknown,unclassified,wnba,https://www.wikidata.org/wiki/Q180950,HIGH
euroleague_anadolu_efes,,unknown,,euroleague,https://www.wikidata.org/wiki/Q483738,GAP
euroleague_asvel,,unknown,,euroleague,https://www.wikidata.org/wiki/Q4089,GAP
euroleague_baskonia,,unknown,,euroleague,https://www.wikidata.org/wiki/Q54927,GAP
euroleague_besiktas,,unknown,,euroleague,https://www.wikidata.org/wiki/Q854669,GAP
euroleague_crvena_zvezda,,unknown,,euroleague,https://www.wikidata.org/wiki/Q1132627,GAP
euroleague_dubai,,unknown,,euroleague,https://www.wikidata.org/wiki/Q125293758,GAP
euroleague_olimpia_milano,,unknown,,euroleague,https://www.wikidata.org/wiki/Q36362,GAP
