team_id,league_id,name,org_chart,cba_articles,income_ingredients,bundle_status,notes
nba_celtics_q131371,nba,Boston Celtics,data/derived/nba_orgs/boston-celtics.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_nets_q976396,nba,Brooklyn Nets,data/derived/nba_orgs/brooklyn-nets.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_knicks_q131364,nba,New York Knicks,data/derived/nba_orgs/new-york-knicks.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_76ers_q138089,nba,Philadelphia 76ers,data/derived/nba_orgs/philadelphia-76ers.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_raptors_q329816,nba,Toronto Raptors,data/derived/nba_orgs/toronto-raptors.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_bulls_q128109,nba,Chicago Bulls,data/derived/nba_orgs/chicago-bulls.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_cavaliers_q162990,nba,Cleveland Cavaliers,data/derived/nba_orgs/cleveland-cavaliers.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_pistons_q169637,nba,Detroit Pistons,data/derived/nba_orgs/detroit-pistons.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_pacers_q170329,nba,Indiana Pacers,data/derived/nba_orgs/indiana-pacers.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_bucks_q169165,nba,Milwaukee Bucks,data/derived/nba_orgs/milwaukee-bucks.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_hawks_q140558,nba,Atlanta Hawks,data/derived/nba_orgs/atlanta-hawks.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_hornets_q162954,nba,Charlotte Hornets,data/derived/nba_orgs/charlotte-hornets.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_heat_q169138,nba,Miami Heat,data/derived/nba_orgs/miami-heat.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_magic_q180950,nba,Orlando Magic,data/derived/nba_orgs/orlando-magic.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_wizards_q161337,nba,Washington Wizards,data/derived/nba_orgs/washington-wizards.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_nuggets_q165529,nba,Denver Nuggets,data/derived/nba_orgs/denver-nuggets.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_timberwolves_q157376,nba,Minnesota Timberwolves,data/derived/nba_orgs/minnesota-timberwolves.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_thunder_q180748,nba,Oklahoma City Thunder,data/derived/nba_orgs/oklahoma-city-thunder.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_blazers_q180950,nba,Portland Trail Blazers,data/derived/nba_orgs/portland-trail-blazers.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_jazz_q166105,nba,Utah Jazz,data/derived/nba_orgs/utah-jazz.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_warriors_q169661,nba,Golden State Warriors,data/derived/nba_orgs/golden-state-warriors.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_clippers_q976893,nba,LA Clippers,data/derived/nba_orgs/la-clippers.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_lakers_q121661,nba,Los Angeles Lakers,data/derived/nba_orgs/los-angeles-lakers.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_suns_q164177,nba,Phoenix Suns,data/derived/nba_orgs/phoenix-suns.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_kings_q166105,nba,Sacramento Kings,data/derived/nba_orgs/sacramento-kings.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
nba_mavericks_q169542,nba,Dallas Mavericks,data/derived/nba_orgs/dallas-mavericks.csv,data/cba/2023/derived/structure.json (cba:2023:art-VII); data/cba/2023/derived/headings_index.json,data/derived/league_income_ingredients.csv,ready,
